id,title,author,publication_year,genre,rating
1,To Kill a Mockingbird,Harper Lee,1960,Fiction,4.5
2,1984,George Orwell,1949,Science Fiction,4.7
3,Pride and Prejudice,Jane Austen,1813,Romance,4.3
4,The Great Gatsby,F. Scott Fitzgerald,1925,Fiction,4.2
5,The Catcher in the Rye,J.D. Salinger,1951,Fiction,4.0
6,Moby-Dick,Herman Melville,1851,Adventure,4.1
7,The Lord of the Rings,J.R.R. Tolkien,1954,Fantasy,4.9
8,The Hobbit,J.R.R. Tolkien,1937,Fantasy,4.6
9,Brave New World,Aldous Huxley,1932,Science Fiction,4.4
10,The Hunger Games,Suzanne Collins,2008,Young Adult,4.3
11,Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,Fantasy,4.8
12,The Da Vinci Code,Dan Brown,2003,Thriller,3.9
13,The Alchemist,Paulo Coelho,1988,Fiction,4.2
14,The Girl with the Dragon Tattoo,Stieg Larsson,2005,Mystery,4.1
15,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,Science Fiction,4.5
16,The Shining,Stephen King,1977,Horror,4.3
17,The Catch-22,Joseph Heller,1961,Satire,4.0
18,The Chronicles of Narnia,C.S. Lewis,1950,Fantasy,4.7
19,The Fault in Our Stars,John Green,2012,Young Adult,4.2
20,The Old Man and the Sea,Ernest Hemingway,1952,Fiction,4.1