Name,Origin,LifeSpan,Weight,Temperament,HairLength
Persian,Iran,14.5,4.5,Gentle,Long
Siamese,Thailand,15.0,5.0,Active,Short
Maine Coon,United States,13.0,7.5,Friendly,Long
British Shorthair,United Kingdom,15.0,5.5,Calm,Short
Russian Blue,Russia,15.5,4.0,Gentle,Short
Bengal,United States,14.0,5.5,Energetic,Short
Abyssinian,Ethiopia,13.5,4.0,Playful,Short
Ragdoll,United States,13.5,6.5,Relaxed,Long
Sphynx,Canada,14.0,4.0,Affectionate,Hairless
Norwegian Forest,Norway,14.5,6.0,Independent,Long
Scottish Fold,United Kingdom,13.0,4.0,Sweet,Short
American Shorthair,United States,15.0,5.0,Adaptable,Short
Birman,Myanmar,14.0,4.5,Gentle,Long
Devon Rex,United Kingdom,13.5,3.5,Active,Short
Oriental Shorthair,Thailand,14.0,4.5,Social,Short
Turkish Angora,Turkey,13.5,4.0,Intelligent,Long
Burmese,Myanmar,15.0,4.5,Affectionate,Short
Siberian,Russia,13.5,6.0,Friendly,Long
Egyptian Mau,Egypt,14.0,4.0,Athletic,Short
Japanese Bobtail,Japan,13.0,4.5,Energetic,Medium
Exotic Shorthair,United States,12.5,5.0,Calm,Short
Tonkinese,Canada,14.5,4.0,Social,Short
Cornish Rex,United Kingdom,13.0,3.5,Playful,Short
Chartreux,France,13.5,5.0,Quiet,Short
Himalayan,United States,12.5,5.5,Gentle,Long